"Time","SpineBase","SpineMid","Neck","Head","ShoulderLeft","ElbowLeft","WristLeft","HandLeft","ShoulderRight","ElbowRight","WristRight","HandRight","HipLeft","KneeLeft","AnkleLeft","FootLeft","HipRight","KneeRight","AnkleRight","FootRight","SpineShoulder","HandTipLeft","ThumbLeft","HandTipRight","ThumbRight"
"267514255646","-0.135173","-0.161030","-0.185045","-0.128341","-0.317951","-0.270825","-0.299742","-0.282814","0.013219","0.016535","-0.031373","-0.061764","-0.199723","-0.269943","-0.208008","-0.227762","-0.071550","0.050744","0.019854","-0.001527","-0.179509","-0.305061","-0.338553","-0.069961","-0.019674"
"267514255646","-0.467351","-0.276536","-0.090540","0.002967","-0.066988","-0.188828","-0.072658","-0.038385","-0.104647","-0.226302","-0.092174","-0.047368","-0.464237","-0.245523","-0.635252","-0.675073","-0.452948","-0.254135","-0.625500","-0.665426","-0.136488","-0.006992","-0.017342","0.006677","-0.009738"
"267514255646","4.418106","4.459514","4.489848","4.581480","4.484617","4.222064","4.381032","4.483696","4.406604","4.147995","4.379224","4.477426","4.382655","4.093745","4.117366","3.990316","4.397461","4.123992","4.158503","4.031400","4.484230","4.497145","4.464714","4.504391","4.459000"
"267514586234","-0.135566","-0.161046","-0.184921","-0.129356","-0.317935","-0.271045","-0.299886","-0.297866","0.010507","0.063097","0.015836","-0.041713","-0.199858","-0.269587","-0.207994","-0.227702","-0.071668","0.050637","0.020081","0.042262","-0.179394","-0.335225","-0.348319","-0.049342","-0.053262"
"267514586234","-0.466828","-0.276584","-0.090782","0.004475","-0.067029","-0.189094","-0.072554","-0.054335","-0.104381","-0.176184","-0.042193","-0.024289","-0.464624","-0.244535","-0.635239","-0.675061","-0.452888","-0.254304","-0.627764","-0.711668","-0.136710","-0.019219","-0.047991","0.021657","0.029743"
"267514586234","4.418520","4.459677","4.490106","4.579636","4.484664","4.222177","4.380907","4.470913","4.407424","4.144261","4.375631","4.483997","4.382975","4.093815","4.117439","3.990399","4.397405","4.124097","4.160357","4.112746","4.484475","4.490140","4.438600","4.493837","4.479000"
"267514914718","-0.137321","-0.162243","-0.186391","-0.132643","-0.318515","-0.272204","-0.301509","-0.310353","0.004937","0.061797","0.014539","-0.029346","-0.208523","-0.269357","-0.206446","-0.226394","-0.072122","0.049692","0.019607","-0.001953","-0.180517","-0.262635","-0.360606","-0.035033","0.007512"
"267514914718","-0.470950","-0.277792","-0.090207","0.006914","-0.066797","-0.189043","-0.072031","-0.049572","-0.102874","-0.175580","-0.041590","-0.037924","-0.477231","-0.244586","-0.634928","-0.674734","-0.474003","-0.254733","-0.629108","-0.668993","-0.136646","-0.006988","-0.045670","-0.000836","-0.024837"
"267514914718","4.417712","4.459641","4.490599","4.578421","4.484692","4.222186","4.380512","4.466520","4.408085","4.144145","4.375515","4.468871","4.338388","4.095187","4.119695","3.992709","4.429306","4.124980","4.161458","4.034423","4.484776","4.505152","4.440600","4.494171","4.445000"
"267515258167","-0.137353","-0.162219","-0.186309","-0.140071","-0.318453","-0.272204","-0.301610","-0.327139","0.004281","0.061733","0.014466","-0.028758","-0.202316","-0.268636","-0.205513","-0.225504","-0.072106","0.049555","0.018993","0.049202","-0.180455","-0.355380","-0.338799","-0.041198","-0.041095"
"267515258167","-0.470443","-0.277761","-0.090168","0.010418","-0.066808","-0.189132","-0.071994","-0.046996","-0.102758","-0.175527","-0.041509","-0.040509","-0.470940","-0.245433","-0.635010","-0.674823","-0.459153","-0.255182","-0.628802","-0.711422","-0.136621","-0.031446","-0.044936","0.066703","0.066538"
"267515258167","4.417680","4.459632","4.490611","4.579454","4.484642","4.222095","4.380372","4.461082","4.408081","4.144051","4.375473","4.463163","4.374345","4.095043","4.121021","3.994045","4.400961","4.125035","4.161553","4.120714","4.484783","4.486803","4.443714","4.497169","4.486000"
"267515914729","-0.137367","-0.162074","-0.185957","-0.132895","-0.318665","-0.272807","-0.302563","-0.367937","0.001407","0.012239","0.041232","0.059981","-0.202383","-0.266852","-0.206208","-0.226277","-0.072287","0.046255","0.019372","-0.002305","-0.180122","-0.372962","-0.378435","0.069263","0.091722"
"267515914729","-0.468929","-0.277377","-0.089744","0.016160","-0.066767","-0.189293","-0.071784","-0.034427","-0.102207","-0.228870","-0.085714","-0.059988","-0.470431","-0.243053","-0.634634","-0.674463","-0.458061","-0.250981","-0.628713","-0.668622","-0.136280","-0.006981","-0.039749","-0.019241","-0.070692"
"267515914729","4.417881","4.459769","4.490907","4.570045","4.484600","4.222018","4.380027","4.460535","4.408422","4.160038","4.371293","4.416149","4.375162","4.098665","4.120949","3.993998","4.400424","4.129900","4.162757","4.035757","4.485039","4.502133","4.442715","4.493169","4.397000"
"267516255422","-0.137203","-0.161741","-0.185469","-0.148521","-0.315425","-0.270213","-0.300542","-0.381452","0.001208","0.048388","0.086122","0.086373","-0.200577","-0.266290","-0.206760","-0.226984","-0.072605","0.044688","0.019102","-0.002731","-0.179734","-0.397885","-0.393973","0.093696","0.100227"
"267516255422","-0.464914","-0.276778","-0.089966","0.060759","-0.061811","-0.184883","-0.066923","-0.031795","-0.102322","-0.237814","-0.102065","-0.055645","-0.464346","-0.239965","-0.633946","-0.673782","-0.456071","-0.247196","-0.627997","-0.667912","-0.136331","-0.009981","-0.033780","-0.023304","-0.058890"
"267516255422","4.419250","4.460156","4.491113","4.583430","4.486080","4.223681","4.381237","4.447663","4.408467","4.153095","4.367473","4.424675","4.380320","4.103953","4.123116","3.996198","4.399620","4.138047","4.164012","4.037046","4.485253","4.472127","4.427000","4.488169","4.414667"
"267516917160","-0.104280","-0.134620","-0.175293","-0.137382","-0.300485","-0.255951","-0.358563","-0.382751","0.006498","0.055366","0.091604","0.108704","-0.160370","-0.262025","-0.202913","-0.210626","-0.046782","0.045727","0.008896","0.047179","-0.166235","-0.429962","-0.440775","0.106422","0.111896"
"267516917160","-0.424068","-0.250601","-0.084548","0.071451","-0.047339","-0.170809","-0.063008","-0.050025","-0.098063","-0.232432","-0.098872","-0.062618","-0.426456","-0.242038","-0.635634","-0.717798","-0.415944","-0.241481","-0.621732","-0.695749","-0.127524","-0.031233","-0.047771","-0.019305","-0.031424"
"267516917160","4.494155","4.499604","4.492882","4.563129","4.489140","4.226975","4.360721","4.401392","4.409419","4.153931","4.355052","4.401994","4.457360","4.114049","4.134822","4.073267","4.470156","4.142169","4.169091","4.107804","4.492795","4.457119","4.417842","4.508168","4.481000"
"267517258276","-0.118934","-0.166388","-0.210191","-0.106127","-0.265576","-0.221076","-0.373734","-0.376419","-0.030310","0.019184","0.102372","0.114477","-0.189204","-0.263497","-0.205142","-0.206734","-0.050699","0.044856","0.007350","0.044230","-0.199387","-0.397655","-0.396046","0.142264","0.121148"
"267517258276","-0.393158","-0.182220","0.020874","0.109270","0.008584","-0.114989","-0.079989","-0.038354","0.008709","-0.125614","-0.091763","-0.063913","-0.386650","-0.239101","-0.630526","-0.712434","-0.393243","-0.238408","-0.621475","-0.693490","-0.029636","-0.030916","-0.045644","-0.031375","-0.072461"
"267517258276","4.506343","4.514652","4.510408","4.564068","4.493825","4.231646","4.356506","4.398979","4.426684","4.171125","4.364164","4.399080","4.476341","4.112048","4.137595","4.074183","4.476955","4.145398","4.171067","4.103831","4.513436","4.413126","4.384000","4.474165","4.373500"
"267517914656","-0.137242","-0.131372","-0.127061","-0.120826","-0.287533","-0.400653","-0.341900","-0.340582","0.015648","0.138981","0.098231","0.106882","-0.204288","-0.264303","-0.202921","-0.208873","-0.068303","0.043734","0.004402","0.031356","-0.127959","-0.316215","-0.297701","0.064444","0.085572"
"267517914656","-0.251958","0.025853","0.301354","0.436243","0.199592","0.017733","-0.101033","-0.115846","0.207210","-0.012020","-0.120987","-0.132184","-0.248601","-0.235560","-0.626605","-0.704937","-0.251678","-0.227069","-0.622553","-0.697956","0.232997","-0.154953","-0.115385","-0.166307","-0.115883"
"267517914656","4.528490","4.536419","4.531600","4.499336","4.514402","4.476196","4.307145","4.272466","4.513146","4.498525","4.317605","4.317426","4.493230","4.116831","4.144297","4.073596","4.502689","4.153185","4.176969","4.108568","4.535121","4.184799","4.230286","4.181161","4.286333"
"267518255788","-0.135047","-0.128392","-0.122343","-0.115796","-0.286761","-0.398385","-0.352798","-0.353193","0.038648","0.139296","0.108342","0.096405","-0.206019","-0.264300","-0.203260","-0.209241","-0.062650","0.043386","0.002274","0.029077","-0.123806","-0.307978","-0.318486","0.059470","0.069935"
"267518255788","-0.227048","0.038256","0.303936","0.429324","0.211191","0.034165","-0.100842","-0.112937","0.198771","-0.004494","-0.131682","-0.135781","-0.221433","-0.236423","-0.626945","-0.705602","-0.229201","-0.227432","-0.622380","-0.699086","0.237764","-0.155603","-0.096414","-0.133726","-0.107877"
"267518255788","4.508080","4.517045","4.513997","4.451514","4.486080","4.462681","4.302451","4.278374","4.501951","4.493595","4.323446","4.314602","4.469307","4.116988","4.144173","4.074143","4.485345","4.154460","4.182840","4.117097","4.517013","4.202147","4.266000","4.233677","4.279500"
"267518586110","-0.136294","-0.127052","-0.112700","-0.114122","-0.284582","-0.400223","-0.353158","-0.346702","0.046239","0.141759","0.109591","0.105853","-0.216668","-0.261641","-0.203738","-0.206341","-0.056452","0.044060","0.001607","0.020573","-0.116365","-0.301381","-0.305646","0.053628","0.109162"
"267518586110","-0.210053","0.041570","0.292552","0.435508","0.213203","0.034837","-0.103526","-0.121189","0.204742","0.004053","-0.129410","-0.137329","-0.202281","-0.245210","-0.627922","-0.711312","-0.212689","-0.230843","-0.622565","-0.702888","0.232039","-0.160883","-0.119626","-0.133553","-0.104353"
"267518586110","4.523374","4.510690","4.459622","4.419481","4.470771","4.455286","4.298562","4.273666","4.484595","4.492394","4.327618","4.316311","4.494153","4.115626","4.144547","4.085600","4.494982","4.152981","4.183939","4.121758","4.475066","4.190148","4.221667","4.228179","4.293334"
"267518915065","-0.136346","-0.124466","-0.110040","-0.107728","-0.277707","-0.421027","-0.347501","-0.317597","0.053087","0.166185","0.109847","0.113341","-0.216732","-0.261846","-0.204697","-0.199699","-0.056126","0.044543","-0.005670","0.017329","-0.113624","-0.276332","-0.301593","0.065086","0.059142"
"267518915065","-0.208787","0.042754","0.289057","0.416803","0.216173","0.027576","-0.117018","-0.138684","0.198659","0.001930","-0.144873","-0.153325","-0.201413","-0.245101","-0.629916","-0.677095","-0.211619","-0.232116","-0.625272","-0.704902","0.228627","-0.165292","-0.122065","-0.148744","-0.144471"
"267518915065","4.523527","4.495606","4.444091","4.383591","4.415690","4.419790","4.280938","4.240655","4.431408","4.468426","4.323946","4.316620","4.493838","4.116376","4.144987","4.019398","4.495102","4.152296","4.183110","4.121600","4.458799","4.157151","4.232750","4.222510","4.210000"
"267519257732","-0.140177","-0.127515","-0.111299","-0.103548","-0.276762","-0.421997","-0.348240","-0.352407","0.055049","0.168767","0.112670","0.107046","-0.220362","-0.261682","-0.204329","-0.210460","-0.058902","0.044889","-0.007059","0.014124","-0.115765","-0.294459","-0.335699","0.070910","0.112842"
"267519257732","-0.206176","0.041470","0.278773","0.414029","0.210839","0.030806","-0.118876","-0.127032","0.197506","0.007232","-0.142389","-0.147806","-0.199207","-0.245881","-0.630156","-0.714150","-0.209557","-0.233399","-0.630654","-0.707875","0.220356","-0.140248","-0.106144","-0.150778","-0.146835"
"267519257732","4.526118","4.479529","4.393206","4.342824","4.395470","4.414408","4.281907","4.274404","4.416277","4.461195","4.320028","4.306403","4.494616","4.116536","4.145138","4.088862","4.498295","4.150882","4.188825","4.120745","4.417377","4.199815","4.246400","4.225673","4.280750"
"267519915343","-0.141860","-0.124793","-0.102677","-0.100236","-0.270774","-0.427952","-0.346098","-0.335398","0.058767","0.186549","0.110355","0.098892","-0.222344","-0.259572","-0.205161","-0.199850","-0.060065","0.046409","-0.009432","0.014896","-0.108296","-0.284302","-0.296652","0.070603","0.082079"
"267519915343","-0.204212","0.033996","0.259069","0.390798","0.202970","0.043419","-0.128550","-0.134574","0.190422","0.016398","-0.155700","-0.155878","-0.197331","-0.253481","-0.628128","-0.688826","-0.207593","-0.241289","-0.628073","-0.704690","0.203580","-0.143769","-0.116577","-0.167361","-0.167333"
"267519915343","4.526367","4.438682","4.318968","4.264740","4.324621","4.369824","4.278956","4.253531","4.345520","4.408052","4.312729","4.286830","4.493562","4.115056","4.145579","4.028865","4.499276","4.144502","4.191485","4.124228","4.351505","4.191142","4.244000","4.207664","4.207000"
"267520256221","-0.144007","-0.126973","-0.106358","-0.096028","-0.269072","-0.436727","-0.345621","-0.323918","0.064390","0.188073","0.105388","0.129314","-0.224200","-0.258912","-0.204892","-0.216901","-0.062234","0.047173","-0.008132","0.011650","-0.111619","-0.289948","-0.291277","0.135979","0.152489"
"267520256221","-0.200735","0.031884","0.255544","0.380497","0.202584","0.046208","-0.132685","-0.139486","0.184535","0.016697","-0.156757","-0.159923","-0.193198","-0.260008","-0.629292","-0.711359","-0.204918","-0.246377","-0.629267","-0.705297","0.200069","-0.159741","-0.127522","-0.181787","-0.167938"
"267520256221","4.520931","4.412796","4.293743","4.232498","4.282826","4.331282","4.270937","4.232597","4.294637","4.389222","4.303338","4.297276","4.486409","4.111546","4.144307","4.084830","4.494845","4.140485","4.192708","4.121880","4.325175","4.190337","4.208154","4.277155","4.281600"
"267520586079","-0.147889","-0.125241","-0.098561","-0.092940","-0.267614","-0.437399","-0.347658","-0.325601","0.064432","0.193297","0.100627","0.115370","-0.226601","-0.258419","-0.201944","-0.217729","-0.067479","0.046531","-0.008849","0.011159","-0.105125","-0.287845","-0.296687","0.076169","0.149494"
"267520586079","-0.193212","0.031157","0.246648","0.377567","0.202376","0.053362","-0.123632","-0.130834","0.183152","0.018264","-0.159758","-0.158760","-0.185328","-0.260988","-0.632752","-0.712803","-0.198210","-0.251599","-0.628979","-0.705837","0.193110","-0.150248","-0.120500","-0.155523","-0.165684"
"267520586079","4.507393","4.382610","4.240821","4.186662","4.252263","4.314048","4.245795","4.226885","4.275047","4.351755","4.292913","4.284710","4.474211","4.109488","4.143812","4.080997","4.479549","4.132115","4.192802","4.123903","4.276073","4.159468","4.215256","4.198158","4.280276"
"267520915867","-0.141586","-0.121647","-0.100154","-0.091179","-0.259858","-0.428917","-0.347258","-0.331266","0.066208","0.192397","0.096818","0.104716","-0.218491","-0.258346","-0.199743","-0.228822","-0.062746","0.047372","-0.011345","0.015020","-0.105347","-0.305324","-0.300176","0.087232","0.142437"
"267520915867","-0.181980","0.035435","0.247281","0.375099","0.204722","0.061495","-0.126616","-0.119126","0.184896","0.018293","-0.158680","-0.157806","-0.174534","-0.261127","-0.633005","-0.712933","-0.186765","-0.254469","-0.629130","-0.707639","0.194640","-0.159944","-0.106478","-0.166224","-0.170862"
"267520915867","4.500444","4.368635","4.221199","4.163947","4.206298","4.282688","4.245982","4.227342","4.238105","4.334861","4.278102","4.258926","4.466319","4.106884","4.142684","4.090858","4.473464","4.127252","4.187819","4.126896","4.260682","4.166126","4.210000","4.179153","4.296000"
